No,Project Name,URL,Author/Team,Likes,Bookmarks,Accessible,Status,Description,IsWinner,AwardName,AwardComment,IsFinalPitch
83,cogni-team-ai,https://zenn.dev/takanyan/articles/feeb77ea67229b,チーム: CogniTeam,3,1,True,200,CogniTeam AI,False,,,False
84,「Me-Too!」,https://zenn.dev/rikut0417/articles/f093bbab7f1ab8,チーム: 3R,3,0,True,200,Me-Too! - AIによる趣味・出身地マッチングアプリ,False,,,False
85,DinnerCam -余りがちな食材においしいを-,https://zenn.dev/digitalbase/articles/60e2edede370a6,チーム: ニトリホールディングス,3,0,True,200,DinnerCam -余りがちな食材においしいを-,False,,,False
86,飲み会幹事をイイ感じにサポートする！自律型AIエージェントアプリ「イイカンジ」,https://zenn.dev/agesagesage/articles/8e22d53c062656,チーム: Room 501,6,2,True,200,飲み会をサポートする！イイ感じの幹事「イイカンジ」,False,,,False
87,レシートシェア,https://zenn.dev/masan_eeic/articles/ff4bd2a3747521,個人,2,1,True,200,レシート共有アプリ〜レシートシェア〜,False,,,False
88,忙しい人のための料理支援アプリ「ストレスフリーに食卓を!」,https://zenn.dev/namy3242/articles/59abc680d7b6ef,個人,4,0,True,200,忙しい人のための料理支援アプリ「ストレスフリーに食卓を!」,False,,,False
89,Nizukuri AI,https://zenn.dev/osakanafuta/articles/8dbb2f4e020080,チーム: お魚蓋,8,0,True,200,Nizukuri AI（荷造りAI）: 旅行の準備をより効率的に,False,,,False
90,すっきゃなー,https://zenn.dev/barbecue/articles/a874205903617f,チーム: barbecue-trio,1,0,True,200,すべての人の「食」のバリアをなくしたい！メニュー翻訳＆アレルギーチェックアプリ「すっきゃなー」🌯🍣🍜,False,,,False
91,ブログ見直すくん,https://zenn.dev/shimo_s3/articles/0-2025-06-hackathon,個人,5,0,True,200,GeminiでAIアプリ「ブログ見直すくん」を作った,False,,,False
92,linguasafetrip,https://zenn.dev/hamaup/articles/b34190ed8787bd,個人,4,2,True,200,LinguaSafeTrip - 言葉の壁をなくし、災害から旅を守る !,True,🏅 Firebase賞,この度は、linguasafetripの素晴らしいアプリ開発、誠におめでとうございます！皆様のチームは、日本在住外国人や観光客に不可欠なだけでなく、世界にも広がる可能性を秘めた意義深いアプリを開発されました。Firebase Cloud MessagingとAIエージェントの巧みな組み合わせは、革新的な統合として多くのデベロッパーの参考となるでしょう。その独創的な発想と実装力には感銘を受けました。linguasafetripは言語の壁を越え、人々の安全と安心に貢献する社会的価値も高く、皆様の技術力と社会貢献への強い意志が結実した素晴らしい成果です。この度の素晴らしいご功績に、心よりお祝い申し上げます。,True
93,ラーメンに愛(AI)を！,https://zenn.dev/kuuuuu/articles/e23d94d6ae9149,チーム: 歴史に名を刻め,9,0,True,200,ラーメンに愛を！ AIと共に最高のラーメンライフを送る【第2回 AI Agent Hackathon with Google Cloud】,False,,,False
94,Edge Presence X（EP-X）,https://zenn.dev/toki_mwc/articles/530355c3a3fa76,個人,3,0,True,200,Edge Presence X（EP-X）：エッジAIでリアルタイム存在感知を実現するMVP,False,,,False
95,Interrogation Room,https://zenn.dev/sachikonitta/articles/e87b22c8ecb88f,個人,14,1,True,200,AI取り調べゲームを作りました,False,,,False
96,お片付けパートナー,https://zenn.dev/shouhei12/articles/07a58d80b41d6e,チーム: チームINT,1,0,True,200,写真1枚で「どこから片付けるか」をAIが教えてくれる！家事苦手民のための「お片付けパートナー」,False,,,False
97,暗記Pai,https://zenn.dev/ichihos1111/articles/840884a20884ed,個人,5,0,True,200,暗記科目にも、AIアプリを活用しよう【第2回 AI Agent Hackathon】,False,,,False
98,UX-AI Insight,https://zenn.dev/yatakemi/articles/e8899551068483,個人,7,0,True,200,UX分析AI Agent「UX-AI Insight」第 2 回 AI Agent Hackathon with Google Cloud,False,,,False
99,AI幹事くん,https://zenn.dev/motoi_asami/articles/79d7d1c7dce174,チーム: B.FFS. @AI木曜会,26,8,True,200,AI幹事くん：団体予約の「面倒」を「楽しい」に変えるAIエージェント,False,,,False
100,会議の障壁をなくす会議ファシリテーションwebアプリ,https://zenn.dev/coffeecupjp/articles/62ebc5f19ff819,チーム: mac-sdo,3,0,True,200,会議の障壁をなくす会議ファシリテーションwebアプリ,False,,,False
